SI.NO,Team Name,Track,College Name 
1,Team Nova,Smartcity & Infrastructure,"Don Bosco Institute of Technology (DBIT), Bangalore, Karnataka"
2,Arcus Zyren,Healthcare Innovation ,"Sona College of Technology (SCT), Salem, TamilNadu"
3,CodeForgeX,Healthcare Innovation ,"Chennai Institute of Technology, Chennai, Tamil Nadu"
4,Infinity tech,Education Transformation ,"Knowledge Institute of Technology (KIoT), Salem, Tamil Nadu"
5,Hackverrz,Smartcity & Infrastructure,"Vivekananda Global University (VGU), Jaipur, Rajasthan"
6,Risk Resolvers,Smartcity & Infrastructure,"Knowledge Institute of Technology (KIoT), Salem, Tamil Nadu"
7,shagun,Education Transformation ,"Poornima University (PU), Jaipur, Rajasthan"
8,Soloer,Smartcity & Infrastructure,"Chennai Institute of Technology, Chennai, Tamil Nadu"
9,IdeaForge,Smartcity & Infrastructure,"PSNA College of Engineering and Technology (PSNACET), Dindigul"
10,Sentinel,Healthcare Innovation ,"PSNA College of Engineering and Technology (PSNACET), Dindigul"
11,SWASTIK,Education Transformation ,"Sri Krishna College Of Technology, Coimbatore, TamilNadu"
12,Elite,Healthcare Innovation ,"kumaraguru college of technology, Coimbatore, Tamil Nadu"
13,Sruthy R,Education Transformation ,"Kristu Jyoti College of Management and Technology (KJCMT), Kerala"
14,Vaishnavi,Smartcity & Infrastructure,"SIES Graduate School of Technology, Navi Mumbai, Maharashtra"
15,Avengers,Healthcare Innovation ,"COEP Technological University, Pune, Maharashtra"
16,TechnoBlaze,Education Transformation ,"Chennai Institute of Technology, Chennai, Tamil Nadu"
17,InnovX,Education Transformation ,"Dr NGP Institute of Technology Coimbatore, Tami Nadu"
18,Insanity,Healthcare Innovation ,"Thakur College of Engineering and Technology (TCET), Mumbai, Maharashtra"
19,3 Idiots,Education Transformation ,"Amrita Vishwa Vidyapeetham (AVV), Chennai, Tamil Nadu"
20,Toddlerzz,Healthcare Innovation ,"SNS College of Technology, Coimbatore, Tamil Nadu"
21,600CR,Education Transformation ,"Vellore Institute of Technology, Chennai, Tamil Nadu"
22,Creative tinkers,Healthcare Innovation ,"CMR University (CMRU), Bangalore, Karnataka, Tamil Nadu"
23,PowerHouse,Smartcity & Infrastructure,"Sri Krishna College of Engineering, Coimbatore , Tami Nadu"
24,Fourth Iteration,Healthcare Innovation ,"Visvesvaraya Technological University (VTU), Belagavi, Karnataka"
25,Velora,Smartcity & Infrastructure,"SRM Institute of Science and Technology, Kattankulathur, Chengalpattu , Tamil Nadu"
26,Care Coders,Healthcare Innovation ,"Amity University (AU), Noida, NewDelhi"
27,Super founder,Smartcity & Infrastructure,"Raiganj university, Raiganj, Uttar Dinajpur, West Bengal"
28,Global,Education Transformation ,"SNS College of Technology, Coimbatore, Tamil Nadu"
29,PENTAMINDS,Education Transformation ,"Muthayammal Engineering College (Autonomous) Rasipuram Namakkal, Tamil Nadu"
30,Clickbait,Education Transformation ,"Thapar Institute of Engineering and Technology (TIET), Patiala, Punjab"
31,Team Nexus,Education Transformation ,"SNS College of Technology, Coimbatore, Tamil Nadu"
32,DJ NERDS,Education Transformation ,"Dehradun Institute of Technology University (DIT), Dehradun, Uttarakhand, India"
33,Koleti Trishitha,Smartcity & Infrastructure,"Hindusthan University, Chennai "
34,UNIT - 108,Healthcare Innovation ,"SRM Institute of Science and Technology (SRMIST), Kattankulathur, Chennai"
35,Futuretechs,Education Transformation ,"Koneru Lakshmaiah Education Foundation (K.L. University), Guntur"
36,Hydra,Healthcare Innovation ,Muthayammal Engineering College (Autonomous) Rasipuram Namakkal
37,Team Rocket,Smartcity & Infrastructure,"MIT Vishwaprayaag University, Solapur, Pune"
38,Visionary Vortex,Smartcity & Infrastructure,Rathinam International Public School
39,PhoenixForce,Healthcare Innovation ,"Sri Ramakrishna Engineering College (SREC), Coimbatore"
40,Medcore,Healthcare Innovation ,Muthayammal Engineering College (Autonomous) Rasipuram Namakkal
41,dm4782,Healthcare Innovation ,"SRM Institute of Science and Technology (SRMIST), Kattankulathur, Chennai"
42,vidyapath,Education Transformation ,"Jawaharlal Nehru Technological University (JNTUH), Hyderabad, Telangana"
43,Radon,Education Transformation ,"SNS College of Technology, Coimbatore, Tamil Nadu"
44,Binnovators,Smartcity & Infrastructure,"Pranveer Singh Institute of Technology (PSIT), Kanpur"
45,TaxFix,Smartcity & Infrastructure,"Sri Krishna College of Engineering and Technology (SKCET), Coimbatore"
46,Ridge,Smartcity & Infrastructure,"Parul University, Vadodara, Gujarat"
47,Hack Forge,Healthcare Innovation ,"Sri Sivasubramaniya Nadar (SSN) College of Engineering, Chennai, Tamil Nadu"
48,Code Raiders,Smartcity & Infrastructure,"Srinivas Institute of Technology, Mangaluru, Karnataka"
49,Nexa,Education Transformation ,"SNS College of Technology , Coimbatore, Tamil Nadu"
50,Code fighters,Smartcity & Infrastructure,"Sri Krishna College of Engineering and Technology (SKCET), Coimbatore, Tamil Nadu"
51,Benzene,Healthcare Innovation ,"Indian Institute of Management (IIM), Jammu"
52,Team404Error,Smartcity & Infrastructure,"Kumaraguru College of Technology (KCT), Coimbatore, Tamil Nadu"
53,SKAI,Education Transformation ,"Indian Institute of Information Technology (IIIT), Raichur"
54,ReMotion,Healthcare Innovation ,"MIT World Peace University, Pune, Maharashtra"
55,Team Gnomic Blu,Smartcity & Infrastructure,"SSM Central School Senior Secondary, Pallipalayam - Kumarapalayam Rd,Namakkal, Tamil Nadu"
56,Last_Minute_Chaos,Education Transformation ,"Thakur College of Engineering and Technology (TCET), Mumbai, Maharashtra"
57,Vishwakarma,Education Transformation ,"KIT College of Engineering (KITCOE), Kohlapur"
58,Team alchemy,Education Transformation ,"Vishwakarma Institute of Technology (VIT), Pune, Maharashtra"
59,Climate Nanos,Smartcity & Infrastructure,"Federal University of Agriculture, Abeokuta, Nigeria"
60,Edu crew tech,Healthcare Innovation ,"Sri Krishna College of Engineering and Technology (SKCET), Coimbatore, Tamil Nadu"
61,Turbo Thinkers,Healthcare Innovation ,"Chennai Institute of Technology, Chennai, Tamil Nadu"
62,Brilliant buzz,Education Transformation ,"SRM TRP Engineering College, Thirchy, Tamil Nadu"
63,CROOKED,Healthcare Innovation ,"University of Mumbai && Vishwakarma Institute of Technology, Pune, Maharashtra"
64,Single me,Healthcare Innovation ,"Chinmaya Vidyalaya, Tripunithura, Kerala"
65, Horizon,Smartcity & Infrastructure,"Coimbatore Institute of Technology (CIT), Coimbatore"
66,VisionX,Smartcity & Infrastructure,"Muthayammal Engineering College (Autonomous), Rasipuram;Namakkal, Tamil Nadu"
